name_norm,years,n_rows,key,canonical,score
handicrafts development,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,handicrafts development,Tamil Nadu Handicrafts Development Corporation,1.00
health family welfare secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,family welfare,"Health and Family Welfare Department, Secretariat",0.90
higher education secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,higher education secretariat,"Higher Education Department, Secretariat",1.00
highways minor ports secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,highways minor ports secretariat,"Highways and Minor Ports Department, Secretariat",1.00
house new delhi,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,house new delhi,"Tamil Nadu House, New Delhi",1.00
housing board,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,housing board,Tamil Nadu Housing Board,1.00
housing urban development secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,housing urban development secretariat,"Housing and Urban Development Department, Secretariat",1.00
industrial development,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,industrial development,Tamil Nadu Industrial Development Corporation,1.00
industrial explosives,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,industrial explosives,"Tamil Nadu Industrial Explosives Ltd.,",1.00
industrial investment,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,industrial investment,"Tamil Nadu Industrial Investment Corporation Ltd.,",1.00
industries commerce,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,industries commerce,Commissionerate of Industries and Commerce,1.00
khadi village industries board,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,khadi village industries board,Tamil Nadu Khadi Village Industries Board,1.00
land administration,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,land administration,Commissionerate of Land Administration,1.00
land reforms,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,land reforms,Commissionerate of Land Reforms,1.00
legal studies,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,legal studies,Directorate of Legal Studies,1.00
litigations,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,litigations,Government Litigations,1.00
local fund audit,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,local fund audit,Directorate of Local Fund Audit,1.00
madurai kamaraj university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,madurai kamaraj university,Madurai Kamaraj University,1.00
manonmaniam sundaranar university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,manonmaniam sundaranar university,Manonmaniam Sundaranar University,1.00
maritime board,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,maritime board,Tamil Nadu Maritime Board,1.00
metropolitan transport,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,metropolitan transport,"Metropolitan Transport Corporation (Chennai) Ltd.,",1.00
metropolitan water supply sewerage board,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,metropolitan water supply sewerage board,Chennai Metropolitan Water Supply and Sewerage Board,1.00
milk production dairy development,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,milk production dairy development,Directorate of Milk Production and Dairy Development,1.00
minorities economic development,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,minorities economic development,Tamil Nadu Minorities Economic Development Corporation,1.00
municipal administration water supply secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,municipal administration water supply secretariat,"Municipal Administration and Water Supply Department, Secretariat",1.00
national cadet corps,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,national cadet corps,National Cadet Corps,1.00
national service scheme,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,national service scheme,National Service Scheme,1.00
newsprint papers,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,newsprint papers,"Tamil Nadu Newsprint and Papers Ltd.,",1.00
overseas manpower,2015|2016|2017|2018|2020|2021|2022|2023,9,overseas manpower,"Overseas Manpower Corporation Ltd.,",1.00
pallavan transport consultancy services,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,pallavan transport consultancy services,"Pallavan Transport Consultancy Services, Chennai",1.00
palm product development board,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,palm product development board,Tamil Nadu Palm Product Development Board,1.00
periyar university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,periyar university,Periyar University,1.00
physical education sports university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,physical education sports university,Tamil Nadu Physical Education and Sports University,1.00
police housing,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,police housing,Tamil Nadu Police Housing Corporation,1.00
pollution control board,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,pollution control board,Tamil Nadu Pollution Control Board,1.00
poompuhar shipping,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,poompuhar shipping,Poompuhar Shipping Corporation,1.00
power finance infrastructure development,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,power finance infrastructure development,Tamil Nadu Power Finance and Infrastructure Development Corporation Limited,1.00
prisons,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,prisons,Prisons Department,1.00
prosecution,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,prosecution,Directorate of Prosecution,1.00
public secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,public secretariat,"Public Department, Secretariat",1.00
public service commission,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,public service commission,Tamil Nadu Public Service Commission,1.00
registration,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,registration,Registration,1.00
road infrastructure development,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,road infrastructure development,Tamil Nadu Road Infrastructure Development Corporation,1.00
rural development panchayat raj secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,rural development panchayat raj secretariat,"Rural Development and Panchayat Raj Department, Secretariat",1.00
sales tax appellate tribunal,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,sales tax appellate tribunal,Tamil Nadu Sales Tax Appellate Tribunal,1.00
salt,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,salt,"Tamil Nadu Salt Corporation Ltd.,",1.00
school education,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,school education,Directorate of School Education,1.00
school education secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,school education,Directorate of School Education,0.90
science city,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,science city,Science City,1.00
science technology centre,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,science technology centre,Tamil Nadu Science and Technology Centre,1.00
sericulture,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,sericulture,Directorate of Sericulture,1.00
small industries,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,small industries,Tamil Nadu Small Industries Corporation Limited,1.00
small industries development,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,small industries,Tamil Nadu Small Industries Corporation Limited,0.90
small savings,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,small savings,Small Savings,1.00
social welfare,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,social welfare,Tamil Nadu Social Welfare Board,1.00
sports development authority,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,sports development authority,Sports Development Authority of Tamil Nadu,1.00
state consumer disputes redressal commission,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state consumer disputes redressal commission,State Consumer Disputes Redressal Commission,1.00
state council for higher education,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state council for higher education,Tamil Nadu State Council for Higher Education,1.00
state council for science technology,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state council for science technology,Tamil Nadu State Council for Science and Technology,1.00
state council for technical education,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state council for technical education,Tamil Nadu State Council for Technical Education,1.00
state election commission,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state election commission,Tamil Nadu State Election Commission,1.00
state hajj committee,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state hajj committee,Tamil Nadu State Hajj Committee,1.00
state human rights commission,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state human rights commission,State Human Rights Commission,1.00
state industries promotion,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state industries promotion,State Industries Promotion Corporation of Tamil Nadu,1.00
stationery printing,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,stationery printing,Directorate of Stationery and Printing,1.00
tamizhagam guest house udhagmandalam,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,tamizhagam guest house udhagmandalam,"Tamizhagam Guest House, Udhagmandalam",1.00
tea plantation,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,tea plantation,The Tamil Nadu Tea Plantation Corporation Limited,1.00
teachers recruitment board,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,teachers recruitment board,Teachers Recruitment Board,1.00
technical education,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,state council for technical education,Tamil Nadu State Council for Technical Education,0.90
thiruvalluvar university,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,thiruvalluvar university,Thiruvalluvar University,1.00
tourism,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,tourism,Commissionerate of Tourism,1.00
tourism culture religious endowments secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,tourism culture religious endowments secretariat,"Tourism, Culture and Religious Endowments Department, Secretariat.",1.00
town country planning,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,town country planning,Directorate of Town and Country Planning,1.00
town panchayats,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,town panchayats,Directorate of Town Panchayats,1.00
transport development finance,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,transport development finance,"Transport Development Finance Corporation Ltd.,",1.00
transport secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,transport secretariat,"Transport Department, Secretariat",1.00
treasuries accounts,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,treasuries accounts,Commissionerate of Treasuries and Accounts,1.00
university madras,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,university madras,University of Madras,1.00
urban land ceiling urban land tax,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,urban land ceiling urban land tax,Commissionerate of Urban Land Ceiling and Urban Land Tax,1.00
vigilance anti corruption,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,vigilance anti corruption,Directorate of Vigilance and Anti Corruption,1.00
virtual academy,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,virtual academy,Tamil Virtual Academy,1.00
warehousing,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,warehousing,Tamil Nadu Warehousing Corporation,1.00
water supply drainage board,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,water supply drainage board,Tamil Nadu Water Supply and Drainage Board,1.00
welfare differently abled persons secretariat,2015|2016|2017|2018|2019|2020|2021|2022|2023,9,welfare differently abled persons secretariat,"Welfare of Differently Abled Persons Department, Secretariat",1.00
a b wing foundational course training institute,2015|2016|2017|2018|2019|2020|2021|2022,8,a b wing foundational course training institute,A & B wing foundational course Training Institute,1.00
adi dravidar tribal welfare secretariat,2015|2016|2017|2018|2020|2021|2022|2023,8,adi dravidar tribal welfare secretariat,Directorate of Tribal Welfare,1.00
agricultural engineering,2015|2016|2017|2018|2019|2020|2021|2022,8,agricultural engineering,Agricultural Engineering,1.00
agricultural marketing agri business,2015|2016|2017|2018|2019|2020|2021|2022,8,agricultural marketing agri business,Agricultural Marketing and Agri Business,1.00
all india civil services coaching centre,2015|2016|2017|2018|2019|2020|2021|2022,8,all india civil services coaching centre,All India Civil Services Coaching Centre,1.00
archives historical research,2015|2016|2017|2018|2020|2021|2022|2023,8,archives historical research,Tamil Nadu Archives and Historical Research,1.00
backward classes commission,2015|2016|2017|2018|2020|2021|2022|2023,8,backward classes commission,Tamil Nadu Backward Classes Commission,1.00
civil supplies,2016|2017|2018|2019|2020|2021|2022|2023,8,commissioner civil supplies consumer protection,Commissioner of Civil Supplies and Consumer Protection,0.90
co optex,2015|2016|2017|2018|2019|2020|2021|2022,8,co optex,Co-optex,1.00
collegiate education,2015|2016|2017|2018|2020|2021|2022|2023,8,collegiate education,Directorate of Collegiate Education,1.00
commissioner for disciplinary proceedings tiruchirappalli,2015|2016|2017|2018|2020|2021|2022|2023,8,commissioner for disciplinary proceedings,"Commissioner for Disciplinary Proceedings, Chennai",0.90
commissioner for disciplinary proceedings tirunelveli,2016|2017|2018|2019|2020|2021|2022|2023,8,commissioner for disciplinary proceedings,"Commissioner for Disciplinary Proceedings, Chennai",0.90
data centre,2015|2016|2017|2018|2020|2021|2022|2023,8,data centre,State Ground Water and Surface Water Resources Data Centre,1.00
development information secretariat,2015|2016|2017|2018|2020|2021|2022|2023,8,development information secretariat,"Tamil Development and Information Department, Secretariat",1.00
elementary education,2015|2016|2017|2019|2020|2021|2022|2023,8,elementary education,Directorate of Elementary Education,1.00
ex servicemen s welfare,2015|2016|2017|2018|2019|2020|2021|2022,8,ex servicemen,Tamil Nadu Ex-Servicemen Corporation,0.90
finance secretariat,2016|2017|2018|2019|2020|2021|2022|2023,8,finance secretariat,"Finance Department, Secretariat",1.00
fire rescue services,2016|2017|2018|2019|2020|2021|2022|2023,8,fire rescue services,Fire and Rescue Services Department,1.00
fisheries development,2015|2016|2017|2018|2019|2020|2021|2022,8,fisheries development,Tamil Nadu Fisheries Development Corporation,1.00
for development women,2015|2016|2017|2018|2019|2020|2021|2023,8,for development women,Tamil Nadu Corporation for Development of Women,1.00
geology mining,2016|2017|2018|2019|2020|2021|2022|2023,8,geology mining,Directorate of Geology and Mining,1.00
governor s house hold raj bhavan,2015|2016|2017|2018|2019|2020|2021|2023,8,governor s house hold raj bhavan,"Governor’s House Hold Office, Raj Bhavan",1.00
handlooms handicrafts textiles khadi secretariat,2016|2017|2018|2019|2020|2021|2022|2023,8,handlooms handicrafts textiles khadi secretariat,"Handlooms, Handicrafts, Textiles and Khadi Department, Secretariat",1.00
health systems project,2015|2016|2017|2018|2019|2020|2021|2022,8,health systems project,Tamil Nadu Health Systems Project,1.00
hindu religious charitable endowments,2015|2016|2017|2018|2020|2021|2022|2023,8,hindu religious charitable endowments,Commissionerate of Hindu Religious and Charitable Endowments,1.00
industrial safety health,2016|2017|2018|2019|2020|2021|2022|2023,8,industrial safety health,Directorate of Industrial Safety and Health,1.00
institute road transport,2015|2016|2017|2018|2020|2021|2022|2023,8,institute road transport,"Institute of Road Transport, Chennai",1.00
law secretariat,2016|2017|2018|2019|2020|2021|2022|2023,8,law secretariat,"Law Department, Secretariat",1.00
magnesite,2015|2016|2017|2018|2019|2020|2021|2022,8,magnesite,Tamil Nadu Magnesite Limited,1.00
medical services,2015|2016|2017|2018|2019|2020|2021|2022,8,medical services,Tamil Nadu Medical Services Corporation Limited,1.00
metropolitan development authority,2015|2016|2017|2019|2020|2021|2022|2023,8,metropolitan development authority,Chennai Metropolitan Development Authority,1.00
minorities welfare,2015|2016|2017|2018|2019|2020|2021|2022,8,backward classes most backward classes minorities welfare secretariat,Directorate of Minorities Welfare,0.90
mother teresa women s university,2015|2016|2017|2018|2019|2020|2021|2022,8,mother teresa women s university,Mother Teresa Women's University,1.00
national health mission,2016|2017|2018|2019|2020|2021|2022|2023,8,national health mission,National Health Mission,1.00
national law school tiruchirappalli,2015|2016|2017|2018|2019|2020|2022|2023,8,national law school tiruchirappalli,"The Tamil Nadu National Law School, Tiruchirappalli.",1.00
open university,2015|2016|2017|2018|2020|2021|2022|2023,8,open university,Tamil Nadu Open University,1.00
pension,2015|2016|2017|2018|2020|2021|2022|2023,8,pension,Directorate of Pension,1.00
public libraries,2015|2016|2017|2018|2020|2021|2022|2023,8,public libraries,Directorate of Public Libraries,1.00
registrar co operative societies,2015|2016|2017|2018|2020|2021|2022|2023,8,registrar co operative societies,Registrar of Co-operative Societies,1.00
revenue administration disaster management mitigation,2015|2016|2017|2018|2019|2020|2022|2023,8,revenue administration disaster management mitigation,Revenue Administration Disaster Management and Mitigation,1.00
revenue disaster management secretariat,2016|2017|2018|2019|2020|2021|2022|2023,8,revenue disaster management secretariat,"Revenue and Disaster Management Department, Secretariat",1.00
