application_id,batch_id,authority_id,state,department,topic,language,channel,template_version,treatment,assigned_ra,randomization_stratum,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,evidence_url,screen_recording_url,due_date,filed_by,notes,source_row_id,office_name,tree_department,node_id,parent_id,level,tier,path,portal
TN-036,b2026q3_02,TN-cbd07c8629093926,Tamil Nadu,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, MAYILADUTHURAI",rti_meta,en,portal,wave1-rti-information-v1,plain,RA3,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, MAYILADUTHURAI",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,cbd07c8629093926,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, MAYILADUTHURAI",rti_tamil_nadu
TN-037,b2026q3_02,TN-c519a7e505e3b092,Tamil Nadu,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, TENKASI",rti_meta,en,portal,wave1-rti-information-v1,plain,RA3,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, TENKASI",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,c519a7e505e3b092,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > DISTRICT ADIDRAVIDAR AND TRIBAL WELFARE OFFICE, TENKASI",rti_tamil_nadu
TN-038,b2026q3_02,TN-e76d2db6f1401fd7,Tamil Nadu,G(B)ADWHIGHER SECONDARY SCHOOL ARAKKONAM,rti_meta,en,portal,wave1-rti-information-v1,plain,RA2,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,G(B)ADWHIGHER SECONDARY SCHOOL ARAKKONAM,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,e76d2db6f1401fd7,539a9b40c157b20c,3,Sub Office,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > G(B)ADWHIGHER SECONDARY SCHOOL ARAKKONAM,rti_tamil_nadu
TN-039,b2026q3_02,TN-261f3a8eca669ed8,Tamil Nadu,"GOVERNMENT ADW HIGH SCHOOL., MINJUR 601203",rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA4,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"GOVERNMENT ADW HIGH SCHOOL., MINJUR 601203",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,261f3a8eca669ed8,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > GOVERNMENT ADW HIGH SCHOOL., MINJUR 601203",rti_tamil_nadu
TN-040,b2026q3_02,TN-2ed07f10b6b0a71f,Tamil Nadu,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), HARUR TALUK",rti_meta,en,portal,wave1-rti-information-v1,plain,RA1,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), HARUR TALUK",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,2ed07f10b6b0a71f,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), HARUR TALUK",rti_tamil_nadu
TN-041,b2026q3_02,TN-c524c5258a23c7b4,Tamil Nadu,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), KANCHEEPURAM TALUK",rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA3,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), KANCHEEPURAM TALUK",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,c524c5258a23c7b4,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), KANCHEEPURAM TALUK",rti_tamil_nadu
TN-042,b2026q3_02,TN-07ddde80d624525d,Tamil Nadu,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), MADURAI NORTH TALUK (UNIT-2)",rti_meta,en,portal,wave1-rti-information-v1,plain,RA1,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), MADURAI NORTH TALUK (UNIT-2)",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,07ddde80d624525d,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), MADURAI NORTH TALUK (UNIT-2)",rti_tamil_nadu
TN-043,b2026q3_02,TN-0f38e6c797efa085,Tamil Nadu,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), RAMANATHAPURAM TALUK",rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA4,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), RAMANATHAPURAM TALUK",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,0f38e6c797efa085,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), RAMANATHAPURAM TALUK",rti_tamil_nadu
TN-044,b2026q3_02,TN-39fc5971ef6b69e4,Tamil Nadu,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), SANKARANKOIL TALUK",rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA1,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), SANKARANKOIL TALUK",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,39fc5971ef6b69e4,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), SANKARANKOIL TALUK",rti_tamil_nadu
TN-045,b2026q3_02,TN-6d20520a8700e4c2,Tamil Nadu,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), THIRUVAIYARU TALUK",rti_meta,en,portal,wave1-rti-information-v1,plain,RA4,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), THIRUVAIYARU TALUK",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,6d20520a8700e4c2,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), THIRUVAIYARU TALUK",rti_tamil_nadu
TN-046,b2026q3_02,TN-a06dcced95da70a3,Tamil Nadu,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), TINDIVANAM TALUK",rti_meta,en,portal,wave1-rti-information-v1,plain,RA4,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), TINDIVANAM TALUK",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,a06dcced95da70a3,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), TINDIVANAM TALUK",rti_tamil_nadu
TN-047,b2026q3_02,TN-7ab6e4233dad29d9,Tamil Nadu,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), VELLORE TALUK",rti_meta,en,portal,wave1-rti-information-v1,plain,RA2,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), VELLORE TALUK",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,7ab6e4233dad29d9,539a9b40c157b20c,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > DIRECTORATE OF ADIDRAVIDAR WELFARE > SPECIAL TAHSILDAR (ADIDRAVIDAR WELFARE), VELLORE TALUK",rti_tamil_nadu
TN-048,b2026q3_02,TN-72f614268b65682f,Tamil Nadu,TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO),rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA1,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO),ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,72f614268b65682f,b342d253e974c4fc,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) HEAD OFFICE, CHENNAI > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO)",rti_tamil_nadu
TN-049,b2026q3_02,TN-8dc27eea0ea9b25b,Tamil Nadu,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE, COIMBATORE",rti_meta,en,portal,wave1-rti-information-v1,plain,RA3,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE, COIMBATORE",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,8dc27eea0ea9b25b,b342d253e974c4fc,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) HEAD OFFICE, CHENNAI > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE, COIMBATORE",rti_tamil_nadu
TN-050,b2026q3_02,TN-50d0b5d28355058b,Tamil Nadu,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE,RANIPET",rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA3,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE,RANIPET",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,50d0b5d28355058b,b342d253e974c4fc,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) HEAD OFFICE, CHENNAI > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE,RANIPET",rti_tamil_nadu
TN-051,b2026q3_02,TN-45cdf7510fcb8649,Tamil Nadu,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE,VELLORE",rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA2,ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT | Sub Office,,,,,,,,,,,,,,"TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE,VELLORE",ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT,45cdf7510fcb8649,b342d253e974c4fc,3,Sub Office,"ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) HEAD OFFICE, CHENNAI > TAMIL NADU ADI DRAVIDAR HOUSING AND DEVELOPMENT CORPORATION (TAHDCO) DISTRICT OFFICE,VELLORE",rti_tamil_nadu
TN-052,b2026q3_02,TN-2c72d0d0c716c14c,Tamil Nadu,AGRICULTURE AND FARMERS WELFARE DEPARTMENT,rti_meta,en,portal,wave1-rti-information-v1,legal_salience,RA2,AGRICULTURE AND FARMERS WELFARE DEPARTMENT | Department,,,,,,,,,,,,,,AGRICULTURE AND FARMERS WELFARE DEPARTMENT,AGRICULTURE AND FARMERS WELFARE DEPARTMENT,2c72d0d0c716c14c,displayPa,1,Department,AGRICULTURE AND FARMERS WELFARE DEPARTMENT,rti_tamil_nadu
